"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
AU,AUSTRALIA,30000,3322180,60351,5857565
BE,BELGIUM,0,0,48000,5304439
CL,CHILE,0,0,24000,2394180
CN,CHINA,7662700,988379279,62250350,6273036050
HK,HONG KONG,6,526,6,526
IN,INDIA,69000,8815056,4777000,466725381
ID,INDONESIA,112150,12871991,1185150,114846988
IT,ITALY,0,0,48000,4833064
JP,JAPAN,48000,5569992,57540,6901758
LA,LAO PDR,3,12155,3,12155
MY,MALAYSIA,30000,3914009,1216100,120278418
MM,MYANMAR,0,0,365,61978
PK,PAKISTAN,32000,4201756,164600,17381350
PH,PHILIPPINES,0,0,30925,3828616
RU,RUSSIAN FEDERATION,0,0,144000,17880201
SA,SAUDI ARABIA,0,0,12000,1476092
SG,SINGAPORE,200,16069,12600,1396297
ZA,SOUTH AFRICA,0,0,25,3325
TW,"TAIWAN, PROVINCE OF CHINA",5000,554340,56190,6208681
TR,TÜRKIYE,0,0,2088000,236195172
AE,UNITED ARAB EMIRATES,0,0,6100,537385
US,UNITED STATES,19000,2433131,110000,12507611
VN,VIETNAM,41000,4595056,819250,89341408
SUM,SUM,8049059,1034685540,73110555,7387008640
