"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'FOB (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'FOB (Baht)')"
AU,AUSTRALIA,633250,23721846,4249650,159555273
BH,BAHRAIN,51000,1875573,147000,5502490
BD,BANGLADESH,722500,26138545,2685600,91687883
KH,CAMBODIA,775450,31046749,3424550,138044507
CA,CANADA,48000,1864206,534825,22509754
CN,CHINA,32076505,1122420673,201795300,7089171813
CI,COTE D IVOIRE,0,0,112000,4280867
DJ,DJIBOUTI,548725,18514751,2077675,71707374
FJ,FIJI,8000,270285,56200,2117183
FR,FRANCE,21025,1014268,65025,3072409
PF,FRENCH POLYNESIA,13500,601036,134000,5634234
GA,GABON,0,0,13500,558553
DE,GERMANY,159775,6950742,1067575,47084761
GH,GHANA,17500,571908,315000,10145503
GT,GUATEMALA,101250,4010179,175500,6874959
IN,INDIA,318975,14042124,1276675,53150953
ID,INDONESIA,3606100,123540177,21976225,754180392
IE,IRELAND,0,0,140000,5181828
IL,ISRAEL,1631675,59920336,4891100,186812720
JP,JAPAN,2098475,74303436,9585930,338823346
KZ,KAZAKHSTAN,68000,2383304,306000,10712708
KE,KENYA,130400,6039376,391200,18063513
KR,"KOREA,REPUBLIC OF",15000,1619048,99225,10641931
LA,LAO PDR,203965,6828975,782690,26437544
LY,LIBYAN ARAB JAMAHIRIYA,0,0,14200,712298
LT,LITHUANIA,0,0,25500,1407017
MG,MADAGASCAR,0,0,108400,4819905
MY,MALAYSIA,2568350,89390945,12333250,437784718
MV,MALDIVES,0,0,329,62279
ML,MALI,0,0,54000,2255067
MU,MAURITIUS,137900,6470131,543225,25536263
MZ,MOZAMBIQUE,0,0,31450,1308187
MM,MYANMAR,776925,26458598,2392625,84359836
NL,NETHERLANDS,44000,2199568,270000,12523052
NC,NEW CALEDONIA,35500,1335794,49500,1868472
NZ,NEW ZEALAND,641000,25886787,3046800,119586506
NG,NIGERIA,493000,10896636,2788000,61480489
OM,OMAN,17500,613350,17500,613350
PK,PAKISTAN,4650,208163,55525,2643341
PG,PAPUA NEW GUINEA,11000,371642,106800,4597719
PH,PHILIPPINES,464000,16257853,1556500,54827419
PL,POLAND,106500,4033317,290000,11310145
RE,REUNION,27000,1162737,144700,6534675
RO,ROMANIA,0,0,24000,972816
RU,RUSSIAN FEDERATION,0,0,316000,11793844
SN,SENEGAL,0,0,178300,7720346
SG,SINGAPORE,0,0,74250,2602019
SO,SOMALIA,0,0,49400,1976485
ZA,SOUTH AFRICA,34000,1111135,241000,8599161
LK,SRI LANKA,43500,1594533,181000,6636715
SE,SWEDEN,0,0,117925,5633119
TW,"TAIWAN, PROVINCE OF CHINA",0,0,241800,11706125
TR,TÜRKIYE,28400,1396935,93550,4500415
UA,UKRAINE,122500,4337656,974500,38062274
AE,UNITED ARAB EMIRATES,105000,3655236,1533150,57316345
GB,UNITED KINGDOM,17500,648257,52500,1904971
VN,VIETNAM,6017575,206346083,29185275,977356083
YE,YEMEN,52800,1998987,52800,1998987
SUM,SUM,54997670,1934051880,313446199,11034962941
