"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
AU,AUSTRALIA,6000,547497,6000,547497
CN,CHINA,15000,2219427,617060,8381054
DE,GERMANY,0,0,890,86338
HK,HONG KONG,0,0,26,31
IN,INDIA,2500,411666,6475,1148634
ID,INDONESIA,0,0,0,31
KR,"KOREA,REPUBLIC OF",0,0,50,2400
LA,LAO PDR,39335,1658480,122427,5075970
MY,MALAYSIA,2000,163702,2003,164368
NL,NETHERLANDS,0,0,11,1785
SG,SINGAPORE,0,0,95,1311
ES,SPAIN,0,0,610,54880
US,UNITED STATES,0,0,21,2713
VN,VIETNAM,0,0,25,590
SUM,SUM,64835,5000772,755693,15467602
