"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'FOB (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,379432
KH,CAMBODIA,0,0,40000,1990853
CN,CHINA,0,0,48525,3396483
DE,GERMANY,0,0,1100,48159
HK,HONG KONG,1825,99430,4200,290480
IN,INDIA,0,0,160,5659
ID,INDONESIA,5000,452137,91975,6838299
JP,JAPAN,100,4489,1350,92903
LA,LAO PDR,14500,664875,55500,2540125
PK,PAKISTAN,0,0,11750,1066471
PH,PHILIPPINES,8000,591792,102000,5816555
TW,"TAIWAN, PROVINCE OF CHINA",0,0,402,23113
VN,VIETNAM,48000,2347666,204000,10746813
SUM,SUM,77425,4160389,590962,33235345
