"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'FOB (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'FOB (Baht)')"
BD,BANGLADESH,0,0,34000,1101695
KH,CAMBODIA,11861,2407580,14400,2978780
IN,INDIA,48000,2143537,64000,2872275
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,20060,1195495
JP,JAPAN,50,7585,1122,155940
KR,"KOREA,REPUBLIC OF",0,0,66,10114
LA,LAO PDR,0,0,8582,625500
MY,MALAYSIA,26,3889,33,7129
NG,NIGERIA,15000,800672,15000,800672
NO,NORWAY,66,10114,66,10114
PH,PHILIPPINES,1,323,1,323
SG,SINGAPORE,0,0,5000,354104
LK,SRI LANKA,0,0,6000,294400
SE,SWEDEN,0,0,100,15171
CH,SWITZERLAND,0,0,133,20228
TT,TRINIDAD AND TOBAGO,0,0,100,8100
VN,VIETNAM,0,0,0,3330
SUM,SUM,75004,5373700,168663,10453370
