"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'FOB (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'FOB (Baht)')"
AO,ANGOLA,0,0,36000,1466846
AU,AUSTRALIA,966775,43480566,2566150,114737237
BH,BAHRAIN,24000,1090026,24000,1090026
BD,BANGLADESH,603100,26870307,800100,36563389
BE,BELGIUM,24000,1113720,24000,1113720
BR,BRAZIL,54000,2299274,229000,9961114
BN,BRUNEI DARUSSALAM,0,0,2000,86849
KH,CAMBODIA,629050,33205738,1400650,71314512
CM,CAMEROON,72000,2906157,180000,7458686
CA,CANADA,48000,2285717,152000,7617735
CL,CHILE,78000,3644976,78000,3644976
CN,CHINA,7964140,364696871,29562115,1348976932
CO,COLOMBIA,0,0,200,5782
CI,COTE D IVOIRE,233000,9583959,647000,26353571
DJ,DJIBOUTI,90000,3710122,198000,8266297
EG,EGYPT,36000,1501567,36000,1501567
SV,EL SALVADOR,0,0,200,13402
FJ,FIJI,103200,5752648,123200,6617077
FR,FRANCE,43925,2503475,43925,2503475
PF,FRENCH POLYNESIA,13500,727321,61000,3016967
DE,GERMANY,194000,9361715,507854,25419301
GH,GHANA,303600,12757583,915600,38338687
HK,HONG KONG,35000,1524194,35000,1524194
IN,INDIA,502425,25324064,1379000,65072513
ID,INDONESIA,4516200,194696980,9448566,409171041
IL,ISRAEL,1553950,71049969,3268750,150395230
JP,JAPAN,2183250,92802805,5390275,231212694
KZ,KAZAKHSTAN,0,0,141000,6136346
KE,KENYA,496800,22308835,553600,25516634
KR,"KOREA,REPUBLIC OF",40000,4702788,63100,7477304
LA,LAO PDR,63028,2878686,178607,8605475
LR,LIBERIA,0,0,108000,4587229
MG,MADAGASCAR,14000,720647,55000,2772668
MY,MALAYSIA,1450300,63612065,4408800,193987725
MU,MAURITIUS,59375,3107878,184125,10100482
MX,MEXICO,0,0,200,14436
MZ,MOZAMBIQUE,89000,3840118,123000,5390513
MM,MYANMAR,110850,5009687,622050,26883290
NL,NETHERLANDS,22000,1052312,90000,4302402
NC,NEW CALEDONIA,13625,710377,31625,1493193
NZ,NEW ZEALAND,479725,24107155,1026725,50149361
NG,NIGERIA,0,0,1299000,31034558
PK,PAKISTAN,4000,459382,328000,14314726
PG,PAPUA NEW GUINEA,56800,3292116,99400,5775696
PE,PERU,36000,1635735,36000,1635735
PH,PHILIPPINES,416900,19250460,909925,41179730
PL,POLAND,112425,5483674,269925,12627149
RE,REUNION,64000,3399623,164000,8421335
RU,RUSSIAN FEDERATION,254000,11655076,254000,11655076
SN,SENEGAL,139500,6327956,308100,14391411
SC,SEYCHELLES,0,0,9975,803460
SL,SIERRA LEONE,113500,5516346,140500,6863671
SG,SINGAPORE,44000,1961839,110000,4858655
SI,SLOVENIA,155000,6896086,155000,6896086
ZA,SOUTH AFRICA,227000,9659471,600400,26254244
LK,SRI LANKA,80200,3751257,469200,21491461
SD,SUDAN,0,0,41200,2110549
SE,SWEDEN,47975,2761389,95900,5535149
TW,"TAIWAN, PROVINCE OF CHINA",100,4412,125350,6265834
TZ,TANZANIA UNITED REPUBLIC OF,134000,6123473,187900,8996113
TG,TOGO,611000,25189306,1439000,59172282
TR,TÜRKIYE,39325,2111714,153925,8144621
UG,UGANDA,200,9385,200,9385
UA,UKRAINE,34000,1457857,34000,1457857
AE,UNITED ARAB EMIRATES,917550,40470622,1508000,67134387
US,UNITED STATES,400,18425,400,18425
VN,VIETNAM,1974950,90171636,3926400,183992004
SUM,SUM,28572643,1292547542,77360117,3471900477
