"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
AO,ANGOLA,0,0,265500,13063366
AR,ARGENTINA,1200,70554,1200,70554
AU,AUSTRALIA,582990,26963814,10815925,531739890
AT,AUSTRIA,0,0,1020,2915
BD,BANGLADESH,575750,24995734,3216950,154870257
BE,BELGIUM,0,0,12000,1326840
BR,BRAZIL,0,0,3000,151257
BN,BRUNEI DARUSSALAM,2000,94429,20000,1196816
KH,CAMBODIA,269000,11691734,3643350,177562088
CM,CAMEROON,0,0,148500,7685019
CA,CANADA,101460,3113558,497840,23192442
CN,CHINA,18363323,753422064,100379252,4988186510
CG,CONGO,0,0,712000,37474664
DJ,DJIBOUTI,946500,41782752,4213500,194464766
EC,ECUADOR,54000,1843500,54000,1843500
FJ,FIJI,126000,6308868,1083200,59521885
FR,FRANCE,0,0,3000,143485
PF,FRENCH POLYNESIA,34500,1758153,266000,14633949
DE,GERMANY,48000,2785733,246733,13454709
GH,GHANA,0,0,102050,4790010
HK,HONG KONG,0,0,235156,9866304
IN,INDIA,2711950,128027174,24650292,1264128946
ID,INDONESIA,9608275,409707867,100002450,4788798950
IL,ISRAEL,0,0,244600,11050001
JP,JAPAN,974050,47231730,17276698,913812441
KZ,KAZAKHSTAN,68000,2837321,401000,18912120
KE,KENYA,0,0,17450,938138
KR,"KOREA,REPUBLIC OF",288750,13549573,2989170,162164728
LA,LAO PDR,1077500,50870905,5303285,255112169
MG,MADAGASCAR,0,0,70000,1968650
MY,MALAYSIA,1285775,56039612,13363397,659370502
MV,MALDIVES,0,0,25546,1552948
MU,MAURITIUS,24000,1088392,226500,11593484
MZ,MOZAMBIQUE,350000,14072808,726000,33490698
MM,MYANMAR,2102256,90010855,18267959,906108389
NP,NEPAL,3000,337114,5000,512317
NL,NETHERLANDS,0,0,444000,23874151
NC,NEW CALEDONIA,0,0,493000,27401897
NZ,NEW ZEALAND,105500,5161037,1668510,93113797
NG,NIGERIA,0,0,17250,1149353
PG,PAPUA NEW GUINEA,0,0,217000,12213290
PH,PHILIPPINES,1204500,52760361,12608950,603832507
PL,POLAND,0,0,120000,5782922
PT,PORTUGAL,631000,26749336,4047578,178816051
QA,QATAR,0,0,40000,1616117
RE,REUNION,33000,1474801,265000,14909124
RO,ROMANIA,49500,2131120,123750,5191599
RU,RUSSIAN FEDERATION,0,0,146750,7075645
SA,SAUDI ARABIA,0,0,76500,5091971
SN,SENEGAL,0,0,25000,940215
SG,SINGAPORE,32000,2029843,470730,28576300
SK,SLOVAKIA,0,0,50,8551
SB,SOLOMON ISLANDS,8000,391459,8000,391459
ZA,SOUTH AFRICA,13000,747073,1028450,52611614
ES,SPAIN,0,0,940000,43919336
LK,SRI LANKA,18000,830940,281500,12882079
CH,SWITZERLAND,0,0,95,7579
TW,"TAIWAN, PROVINCE OF CHINA",1087500,50739993,15987315,865788823
TZ,TANZANIA UNITED REPUBLIC OF,54000,2546230,315500,15224264
TG,TOGO,0,0,34500,2330995
TR,TÜRKIYE,0,0,107700,6016464
UA,UKRAINE,0,0,68250,3113601
AE,UNITED ARAB EMIRATES,103003,4255671,686015,32790339
US,UNITED STATES,13000,659639,151224,8159390
VN,VIETNAM,6766832,289775497,81648405,3892140540
YE,YEMEN,0,0,147000,6974558
SUM,SUM,49717114,2128857244,431657545,21216700238
