"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'FOB (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,10000,895630
CN,CHINA,53525,5033017,329870,33564376
IN,INDIA,266000,20956797,2278085,176459665
ID,INDONESIA,70025,3997868,357525,26084665
JP,JAPAN,400,22395,6275,439587
KR,"KOREA,REPUBLIC OF",0,0,3650,507152
MY,MALAYSIA,24000,2484616,198950,18992575
PH,PHILIPPINES,53250,2928944,111475,7903390
TW,"TAIWAN, PROVINCE OF CHINA",12000,852103,12000,852103
SUM,SUM,479200,36275740,3307830,265699143
