"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'FOB (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'FOB (Baht)')"
AU,AUSTRALIA,137000,6924687,402000,20661408
BD,BANGLADESH,731000,34958977,1819000,85553659
KH,CAMBODIA,0,0,1540,113577
CN,CHINA,1650000,80452563,15725225,769040041
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,2000,105665,2000,105665
IN,INDIA,3802000,179895448,9030000,431027491
ID,INDONESIA,167900,8504097,554950,27481298
JP,JAPAN,500,107060,1550,278500
KR,"KOREA,REPUBLIC OF",5000,230377,6600,342198
MY,MALAYSIA,17500,872737,72750,3654076
PK,PAKISTAN,0,0,799000,39609708
PH,PHILIPPINES,300,22339,24300,1252481
SG,SINGAPORE,0,0,7050,398048
LK,SRI LANKA,102000,5104756,170000,8379934
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,55581
TR,TÜRKIYE,0,0,68000,3547855
US,UNITED STATES,0,0,31000,1678409
VN,VIETNAM,85300,4073538,121800,5809545
SUM,SUM,6700500,321252244,28871765,1400691881
