"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2020', 'Quantity')","('Jan 2020', 'FOB (Baht)')","('Jan - Jan 2020', 'Quantity')","('Jan - Jan 2020', 'FOB (Baht)')"
AU,AUSTRALIA,624275,19244064,624275,19244064
BD,BANGLADESH,212000,5612307,212000,5612307
KH,CAMBODIA,641975,19340364,641975,19340364
CA,CANADA,154025,5217290,154025,5217290
CN,CHINA,12276775,349359432,12276775,349359432
CI,COTE D IVOIRE,42000,1246489,42000,1246489
DJ,DJIBOUTI,70000,1875421,70000,1875421
FJ,FIJI,32675,1105420,32675,1105420
FR,FRANCE,110000,3646470,110000,3646470
PF,FRENCH POLYNESIA,35500,1102802,35500,1102802
GA,GABON,13500,480934,13500,480934
DE,GERMANY,233900,9330017,233900,9330017
IN,INDIA,562650,16202061,562650,16202061
ID,INDONESIA,2473375,61067120,2473375,61067120
IL,ISRAEL,593450,19558765,593450,19558765
JP,JAPAN,2062749,58574554,2062749,58574554
KE,KENYA,198000,5079444,198000,5079444
KR,"KOREA,REPUBLIC OF",20000,2055540,20000,2055540
LA,LAO PDR,35500,918734,35500,918734
LV,LATVIA,25500,804151,25500,804151
LT,LITHUANIA,13475,456184,13475,456184
MG,MADAGASCAR,51500,1753058,51500,1753058
MY,MALAYSIA,2451000,65138918,2451000,65138918
MU,MAURITIUS,126325,5042753,126325,5042753
MX,MEXICO,4000,509911,4000,509911
MZ,MOZAMBIQUE,18000,469499,18000,469499
MM,MYANMAR,533100,15492907,533100,15492907
NL,NETHERLANDS,112000,4385188,112000,4385188
NZ,NEW ZEALAND,597175,18993957,597175,18993957
PK,PAKISTAN,25,968,25,968
PH,PHILIPPINES,1049500,27340360,1049500,27340360
PL,POLAND,41250,1130498,41250,1130498
QA,QATAR,105000,2986006,105000,2986006
RE,REUNION,13500,491901,13500,491901
RO,ROMANIA,15000,523184,15000,523184
RU,RUSSIAN FEDERATION,487900,13583154,487900,13583154
SN,SENEGAL,124825,5048880,124825,5048880
SG,SINGAPORE,67000,2653938,67000,2653938
ZA,SOUTH AFRICA,207000,5599098,207000,5599098
LK,SRI LANKA,13500,423529,13500,423529
TW,"TAIWAN, PROVINCE OF CHINA",86500,2700018,86500,2700018
TR,TÜRKIYE,28275,1252170,28275,1252170
UA,UKRAINE,163000,5153100,163000,5153100
AE,UNITED ARAB EMIRATES,56800,2178044,56800,2178044
GB,UNITED KINGDOM,24750,664667,24750,664667
VN,VIETNAM,2698550,70547778,2698550,70547778
SUM,SUM,29506799,836341047,29506799,836341047
