"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
CN,CHINA,273695,19655585,1003145,63811823
HK,HONG KONG,1125,89403,245275,10557855
IN,INDIA,0,0,600,26547
ID,INDONESIA,93700,4173754,431900,20581183
JP,JAPAN,0,0,100,2847
KR,"KOREA,REPUBLIC OF",5000,950026,104000,14307481
LA,LAO PDR,0,0,15000,780000
PK,PAKISTAN,18600,1743571,72800,6448995
PH,PHILIPPINES,0,0,86400,5790444
TW,"TAIWAN, PROVINCE OF CHINA",12000,1725969,20000,2766789
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,0,0,288675,18096093
SUM,SUM,404120,28338308,2277695,143764114
