"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'FOB (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'FOB (Baht)')"
IN,INDIA,3000,249917,3000,249917
ID,INDONESIA,34750,3074573,34750,3074573
SUM,SUM,37750,3324490,37750,3324490
