"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,32000,1146315
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,0,0,48000,1913371
CN,CHINA,337200,11259486,553450,16996112
DO,DOMINICAN REPUBLIC,0,0,21700,795431
IN,INDIA,0,0,624,319608
JP,JAPAN,0,0,500,20336
MY,MALAYSIA,0,0,25600,763034
MM,MYANMAR,31000,801350,105100,2820698
NZ,NEW ZEALAND,0,0,48450,2159808
SG,SINGAPORE,227,147662,227,147662
ZA,SOUTH AFRICA,0,0,681600,32046360
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
US,UNITED STATES,4572,1662399,13247,4775385
SUM,SUM,372999,13870897,1734498,71385246
