"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AU,AUSTRALIA,16500,1736173,203500,21972362
BD,BANGLADESH,250,26721,50925,4956869
BE,BELGIUM,0,0,107,3444
BR,BRAZIL,0,0,14225,1420686
CN,CHINA,87704,5880227,2188544,163710979
CI,COTE D IVOIRE,0,0,32500,975644
EG,EGYPT,0,0,2900,534781
FR,FRANCE,0,0,75,2375
GH,GHANA,0,0,76000,2349395
GN,GUINEA,0,0,48500,1608544
GW,GUINEA-BISSAU,0,0,32500,973540
HK,HONG KONG,0,0,12575,1176642
IN,INDIA,153375,11642945,4145971,346339861
ID,INDONESIA,137120,11865431,450382,45081773
IT,ITALY,0,0,100,10000
JP,JAPAN,104179,2713193,1054775,48708199
KE,KENYA,0,0,32500,1094085
KP,KOREA DPR,0,0,500,26098
KR,"KOREA,REPUBLIC OF",275,35280,83426,7501710
LA,LAO PDR,0,0,170,16335
LU,LUXEMBOURG,0,0,2302,99017
MY,MALAYSIA,150550,12740845,419240,38046998
MM,MYANMAR,0,0,63915,3353055
NZ,NEW ZEALAND,0,0,0,32
PK,PAKISTAN,0,0,2000,155560
PH,PHILIPPINES,2688,740265,48118,5816072
SN,SENEGAL,0,0,32000,1085653
SG,SINGAPORE,24750,1415075,198387,11395209
ZA,SOUTH AFRICA,0,0,17000,545844
LK,SRI LANKA,0,0,6275,722045
TW,"TAIWAN, PROVINCE OF CHINA",32910,4445936,473478,51483631
AE,UNITED ARAB EMIRATES,0,0,31000,1291255
GB,UNITED KINGDOM,0,0,8325,1788106
US,UNITED STATES,18000,1469262,26000,2232907
VN,VIETNAM,15005,1648165,110134,9071380
SUM,SUM,743306,56359518,9868349,775550086
