"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AU,AUSTRALIA,1003760,37020651,1003760,37020651
BD,BANGLADESH,481000,18528380,481000,18528380
BR,BRAZIL,102000,4384508,102000,4384508
KH,CAMBODIA,435000,16558022,435000,16558022
CN,CHINA,7980775,274159065,7980775,274159065
FJ,FIJI,17000,681819,17000,681819
PF,FRENCH POLYNESIA,30000,1208396,30000,1208396
DE,GERMANY,1500,7778,1500,7778
HK,HONG KONG,531000,19969972,531000,19969972
IN,INDIA,1218050,44976567,1218050,44976567
ID,INDONESIA,5388125,212970128,5388125,212970128
JP,JAPAN,1782993,71181616,1782993,71181616
KR,"KOREA,REPUBLIC OF",25500,1124896,25500,1124896
LA,LAO PDR,36125,1520034,36125,1520034
MY,MALAYSIA,913560,29801254,913560,29801254
MU,MAURITIUS,29500,1385871,29500,1385871
MM,MYANMAR,1471375,58091302,1471375,58091302
NL,NETHERLANDS,76500,3094605,76500,3094605
NZ,NEW ZEALAND,171600,6658230,171600,6658230
PK,PAKISTAN,17000,750969,17000,750969
PE,PERU,192000,7045002,192000,7045002
PH,PHILIPPINES,1015650,37413534,1015650,37413534
PL,POLAND,25500,1069596,25500,1069596
QA,QATAR,25500,1313677,25500,1313677
SG,SINGAPORE,25700,1172041,25700,1172041
ZA,SOUTH AFRICA,7700,547140,7700,547140
LK,SRI LANKA,34000,1340916,34000,1340916
TW,"TAIWAN, PROVINCE OF CHINA",44000,2416355,44000,2416355
TZ,TANZANIA UNITED REPUBLIC OF,88500,4409405,88500,4409405
TR,TÜRKIYE,11000,475407,11000,475407
AE,UNITED ARAB EMIRATES,24000,1061888,24000,1061888
US,UNITED STATES,12600,575051,12600,575051
UZ,UZBEKISTAN,68000,2903609,68000,2903609
VN,VIETNAM,1926294,72831281,1926294,72831281
SUM,SUM,25212807,938648965,25212807,938648965
