"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
CN,CHINA,6600,5944901,6600,5944901
HK,HONG KONG,0,0,3000,168059
IN,INDIA,3000,296864,11000,1093523
ID,INDONESIA,4100,408400,16100,1832618
KR,"KOREA,REPUBLIC OF",2000,425479,19000,2289874
PK,PAKISTAN,3000,173684,10200,557023
PH,PHILIPPINES,20400,1158699,35675,2061473
US,UNITED STATES,9800,521331,9800,521331
VN,VIETNAM,91000,4642414,128000,6486790
SUM,SUM,139900,13571772,239375,20955592
