"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1192910,53256316,4007500,191272315
BD,BANGLADESH,148500,5729706,1024650,43417398
BE,BELGIUM,237600,14099340,673200,40372258
BT,BHUTAN,0,0,330000,15402598
CN,CHINA,29150945,1247624477,106363525,4953815448
DE,GERMANY,19800,1167082,21235,1268168
HK,HONG KONG,85850,5366820,332050,20738438
IN,INDIA,3795400,159674478,18521150,844229815
ID,INDONESIA,6003370,250529889,25217370,1145203112
JP,JAPAN,9602575,425351925,32896825,1558380832
KR,"KOREA,REPUBLIC OF",1218350,65833748,5926240,353735570
MY,MALAYSIA,1632400,71741089,6957145,315845798
MM,MYANMAR,198000,6443832,297000,10520668
NP,NEPAL,24750,931500,163470,7429630
NZ,NEW ZEALAND,333290,14991662,1889920,91367623
PK,PAKISTAN,74250,3026371,465600,21963931
PH,PHILIPPINES,668250,25725696,4104600,169077208
SG,SINGAPORE,351650,22567166,1353025,78992191
LK,SRI LANKA,74250,3279356,371750,17660903
TW,"TAIWAN, PROVINCE OF CHINA",816400,37995572,4062440,198283363
GB,UNITED KINGDOM,45,12491,45,12491
US,UNITED STATES,18750,1080643,219400,12632861
VN,VIETNAM,1348350,87974857,4580800,298244746
SUM,SUM,56995685,2504404016,219778940,10389867365
