"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
AR,ARGENTINA,0,0,677350,51500055
AU,AUSTRALIA,0,0,2300,398812
BR,BRAZIL,0,0,100,10577
CN,CHINA,3375,283471,7750,733426
IN,INDIA,0,32,5000,457761
ID,INDONESIA,16300,1241141,237275,16132711
JP,JAPAN,11400,792065,57569,4849077
KR,"KOREA,REPUBLIC OF",0,0,425,14909
LA,LAO PDR,650,56550,650,56550
MY,MALAYSIA,0,0,300,26160
PK,PAKISTAN,0,16,2500,290075
SG,SINGAPORE,0,0,2000,311546
TW,"TAIWAN, PROVINCE OF CHINA",0,0,238,82600
VN,VIETNAM,38000,2586162,369550,23672550
SUM,SUM,69725,4959437,1363007,98536809
