"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2013', 'Quantity')","('Oct 2013', 'FOB (Baht)')","('Jan - Oct 2013', 'Quantity')","('Jan - Oct 2013', 'FOB (Baht)')"
AF,AFGHANISTAN,34000,1697279,68000,3297094
AU,AUSTRALIA,4,720,813404,42542211
BD,BANGLADESH,153000,7631849,4482000,211632278
KH,CAMBODIA,2200,184365,5500,463560
CL,CHILE,0,0,34000,1738614
CN,CHINA,3588200,188787636,39152000,1914816029
DJ,DJIBOUTI,0,0,68000,3356598
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,0,0,2400,128822
IN,INDIA,792000,40610939,22580375,1079797390
ID,INDONESIA,200500,10544724,1330450,66600297
JP,JAPAN,50,3109,26750,1492768
KR,"KOREA,REPUBLIC OF",2000,112952,17175,960548
MY,MALAYSIA,16000,889377,228750,11839539
MU,MAURITIUS,7000,370055,7000,370055
PK,PAKISTAN,68000,3475099,1903000,92865130
PH,PHILIPPINES,51000,2613089,76200,3942911
SA,SAUDI ARABIA,144000,7545400,218000,11228757
SG,SINGAPORE,500,38451,12200,780705
LK,SRI LANKA,51000,2667352,544000,26658897
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3100,275574
TR,TÜRKIYE,17000,878493,85000,4426348
US,UNITED STATES,50000,2707312,119006,6339625
VN,VIETNAM,15000,813811,706072,33342461
SUM,SUM,5191454,271572012,72516382,3520598618
