"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
BE,BELGIUM,0,0,8,725
KH,CAMBODIA,0,0,916,309963
CN,CHINA,0,0,64,5800
FR,FRANCE,19,53204,185,78489
DE,GERMANY,0,0,3580,77778
HK,HONG KONG,100,15171,629,90907
IN,INDIA,127775,5802365,1093075,48580451
ID,INDONESIA,0,0,50,3397
IR,IRAN (ISLAMIC REPUBLIC OF),8,725,8,725
IT,ITALY,274,41181,274,41181
JP,JAPAN,0,0,1704,135045
KE,KENYA,0,0,105000,6953790
LA,LAO PDR,10030,185001,75090,5017353
MY,MALAYSIA,30,40686,449,614638
NG,NIGERIA,0,0,30000,2058190
NO,NORWAY,0,0,50,7585
PH,PHILIPPINES,0,0,25,1330
SG,SINGAPORE,2000,134900,36577,2486706
LK,SRI LANKA,0,0,12000,641144
CH,SWITZERLAND,0,0,3,0
TW,"TAIWAN, PROVINCE OF CHINA",0,0,49333,3709456
AE,UNITED ARAB EMIRATES,0,0,66,10114
GB,UNITED KINGDOM,0,0,398,60684
SUM,SUM,140236,6273233,1409484,70885451
