"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'FOB (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'FOB (Baht)')"
CN,CHINA,0,0,4125,324896
IN,INDIA,2000,152030,2050,157516
ID,INDONESIA,10075,926982,226016,16813780
JP,JAPAN,0,0,1400,203052
MY,MALAYSIA,28000,1998296,168000,11994567
NL,NETHERLANDS,0,0,105,30770
ZA,SOUTH AFRICA,0,0,18775,1571525
LK,SRI LANKA,0,0,0,4770
TW,"TAIWAN, PROVINCE OF CHINA",0,0,500,3225
VN,VIETNAM,100,10307,1250,389055
SUM,SUM,40175,3087615,422221,31493156
