"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'FOB (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'FOB (Baht)')"
KH,CAMBODIA,0,0,49450,697600
CN,CHINA,78000,2194676,1781525,76652421
HK,HONG KONG,0,0,1,97
IN,INDIA,828,547916,3497,2267946
ID,INDONESIA,200,11596,2200,103228
JP,JAPAN,0,0,100,4739
KR,"KOREA,REPUBLIC OF",0,0,1320,18004
MY,MALAYSIA,44636,2412113,407233,20773379
PH,PHILIPPINES,0,0,35201,1758654
LK,SRI LANKA,0,0,2000,81486
SUM,SUM,123664,5166301,2282527,102357554
