"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'FOB (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'FOB (Baht)')"
AR,ARGENTINA,89150,5848416,175200,11158194
AU,AUSTRALIA,4000,198678,6204,1208926
BD,BANGLADESH,434000,15173538,621000,21453791
BR,BRAZIL,43500,1738219,97500,4901141
KH,CAMBODIA,196380,6028874,353465,11581096
CN,CHINA,2415169,35985536,6764791,96954925
DJ,DJIBOUTI,280000,2110370,532000,3996266
FJ,FIJI,0,0,16000,404720
PF,FRENCH POLYNESIA,15000,497444,30000,968919
DE,GERMANY,0,0,74,1985
HK,HONG KONG,24000,1044089,48200,2119952
IN,INDIA,825325,30685721,1922297,71888219
ID,INDONESIA,4469845,147544678,9002410,290458825
JP,JAPAN,709289,23606271,1478428,48411834
KE,KENYA,0,0,50000,1216854
KR,"KOREA,REPUBLIC OF",1302,56661,2902,133297
LA,LAO PDR,53000,1869530,70000,2520955
MY,MALAYSIA,650167,22855684,1005168,35999069
MM,MYANMAR,85000,2845480,226500,7340631
NZ,NEW ZEALAND,8000,258950,8000,258950
PK,PAKISTAN,46750,2204276,115500,5044505
PH,PHILIPPINES,523284,18168902,852846,32076533
PL,POLAND,137880,2743502,275760,5550150
RO,ROMANIA,12000,757501,24000,1509645
SG,SINGAPORE,85000,2939371,127500,4360581
SI,SLOVENIA,138590,3766682,138590,3766682
ZA,SOUTH AFRICA,31750,1623603,125600,7398273
LK,SRI LANKA,20770,1543304,83020,6498429
CH,SWITZERLAND,0,0,27,41
TW,"TAIWAN, PROVINCE OF CHINA",1518,207028,3718,395922
TZ,TANZANIA UNITED REPUBLIC OF,78000,1662366,159250,3356495
TR,TÜRKIYE,50,1682,50,1682
US,UNITED STATES,93952,13215208,263952,31913998
VN,VIETNAM,276955,12110215,692305,27287378
ZM,ZAMBIA,128000,2802564,128000,2802564
SUM,SUM,11877626,362094343,25400257,744941427
