"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'FOB (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'FOB (Baht)')"
AU,AUSTRALIA,748470,29154949,1098020,44296312
BE,BELGIUM,148500,5676384,297000,11139607
CN,CHINA,30567205,1293798019,47411932,2018656428
DJ,DJIBOUTI,0,0,49500,1504905
EG,EGYPT,0,0,25,2050
GH,GHANA,49500,1532342,49500,1532342
HK,HONG KONG,24750,996913,24750,996913
IN,INDIA,1269050,56892178,2223500,96748780
ID,INDONESIA,7524500,278991225,13311975,488708903
IT,ITALY,0,0,100,2653
JP,JAPAN,4709450,182431607,9778600,373052728
KR,"KOREA,REPUBLIC OF",353625,16763117,772075,38644586
MY,MALAYSIA,945775,36927746,2284620,85755196
MM,MYANMAR,15000,506487,15000,506487
NZ,NEW ZEALAND,225810,9668816,405670,17273274
PK,PAKISTAN,50600,2396405,112100,4594471
PE,PERU,100000,3373605,100000,3373605
PH,PHILIPPINES,698000,23926063,1230500,41229673
PT,PORTUGAL,148500,4565076,148500,4565076
RE,REUNION,0,0,2000,59701
SG,SINGAPORE,310300,17076929,708000,35155247
TW,"TAIWAN, PROVINCE OF CHINA",729650,30407855,1476000,57986174
UA,UKRAINE,3500,123907,3500,123907
US,UNITED STATES,126750,8469797,131500,8650204
VN,VIETNAM,1691150,71204840,3095350,133906335
SUM,SUM,50440085,2074884260,84729717,3468465557
