"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'FOB (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'FOB (Baht)')"
CA,CANADA,24000,734792,24000,734792
CN,CHINA,300,18010,1850,780811
IN,INDIA,124,75494,908,560564
ID,INDONESIA,0,0,90300,4710642
JP,JAPAN,0,0,821,53093
MM,MYANMAR,0,0,15000,366507
NO,NORWAY,0,0,895,10211
ZA,SOUTH AFRICA,0,0,20000,610550
TW,"TAIWAN, PROVINCE OF CHINA",0,0,88000,5323103
GB,UNITED KINGDOM,0,0,6,32
VN,VIETNAM,0,0,24000,666198
SUM,SUM,24424,828296,265780,13816503
