"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'FOB (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'FOB (Baht)')"
CN,CHINA,0,0,600,31757
HK,HONG KONG,0,0,7175,384624
ID,INDONESIA,40825,5426021,95525,12352274
KR,"KOREA,REPUBLIC OF",28000,3113766,57500,6214295
LA,LAO PDR,0,0,27000,857500
MY,MALAYSIA,0,0,1000,113414
PK,PAKISTAN,6525,529327,256600,19426117
PH,PHILIPPINES,17775,807675,87225,4173779
US,UNITED STATES,0,0,9600,445195
VN,VIETNAM,65000,3439803,199000,10363710
SUM,SUM,158125,13316592,741225,54362665
