"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'FOB (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,49500,1516465
AU,AUSTRALIA,1264200,45122202,8988320,334715336
BD,BANGLADESH,0,0,447400,14508873
BE,BELGIUM,22500,1195988,112500,6208456
KH,CAMBODIA,49500,1511413,148500,4113425
CA,CANADA,56000,941302,56000,941302
CN,CHINA,32906732,1343445422,450505463,18452186127
DJ,DJIBOUTI,0,0,81500,2594243
FJ,FIJI,0,0,61000,1951300
PF,FRENCH POLYNESIA,0,0,8000,259400
GH,GHANA,0,0,198000,5982078
HK,HONG KONG,30000,1825192,348662,14771268
IN,INDIA,1308750,58639085,11007660,469709124
ID,INDONESIA,4436170,153815327,65112800,2223630676
JP,JAPAN,5575900,187220876,62849700,2264780298
KR,"KOREA,REPUBLIC OF",180400,9447483,4120185,202893828
LA,LAO PDR,0,0,4000,137408
MY,MALAYSIA,1088230,41438304,7877700,294938656
MU,MAURITIUS,31000,1037143,106000,3351637
MM,MYANMAR,0,0,321700,7967019
NZ,NEW ZEALAND,839340,30098668,5474155,204749624
PK,PAKISTAN,22500,1114194,225100,9050527
PH,PHILIPPINES,222750,7222186,9001550,278483675
PT,PORTUGAL,116500,3187099,466500,11884198
RE,REUNION,0,0,3000,87264
SN,SENEGAL,0,0,49500,1532081
SG,SINGAPORE,305700,15818025,2561250,121084054
ES,SPAIN,1500,50566,1600,54018
LK,SRI LANKA,0,0,351000,12221634
TW,"TAIWAN, PROVINCE OF CHINA",864750,30120704,9398000,334897334
TR,TÜRKIYE,0,0,25000,735832
AE,UNITED ARAB EMIRATES,0,0,16500,517148
US,UNITED STATES,108000,6872466,580800,43295116
VN,VIETNAM,1680550,72981028,9354125,408743238
SUM,SUM,51110972,2013104673,649912670,25734492662
