"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
AO,ANGOLA,70400,2965612,385200,15196926
AU,AUSTRALIA,909750,37447666,11237850,464957102
BD,BANGLADESH,210000,8387728,3179250,127542083
BE,BELGIUM,0,0,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,518550,23382338,5044050,233725855
CM,CAMEROON,0,0,52500,2011420
CA,CANADA,96000,4197254,1727550,83008707
CL,CHILE,0,0,50,18785
CN,CHINA,14764480,583560737,200396446,8157024725
CG,CONGO,0,0,49000,2042560
CI,COTE D IVOIRE,490000,17812429,1910500,72764131
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,88500,3488676,1964000,78164677
FJ,FIJI,104700,5316408,955450,48868579
FI,FINLAND,0,0,119775,5456701
FR,FRANCE,44000,2311803,352000,16988803
PF,FRENCH POLYNESIA,13500,644689,188950,8645430
GA,GABON,13500,651787,54500,2573450
DE,GERMANY,273900,12898254,2713500,129914944
GH,GHANA,0,0,2739500,105350431
IN,INDIA,281900,15089218,3673450,173929649
ID,INDONESIA,5281225,216024064,43985475,1802639632
IE,IRELAND,0,0,140000,6097441
IL,ISRAEL,892400,39395019,12309325,541820616
JP,JAPAN,1740125,67706483,18658721,746507291
KZ,KAZAKHSTAN,0,0,337500,13575540
KE,KENYA,107800,5377536,408575,20757007
KR,"KOREA,REPUBLIC OF",20000,2207720,180215,19451862
LA,LAO PDR,134250,4407173,1182847,41894395
LV,LATVIA,0,0,43500,1964642
LT,LITHUANIA,0,0,98400,4914154
MG,MADAGASCAR,14000,632879,316500,14791225
MY,MALAYSIA,3497900,141375170,30966100,1275769860
MV,MALDIVES,0,0,9500,420137
ML,MALI,0,0,162000,7693802
MU,MAURITIUS,181700,9020960,1088875,54238935
MX,MEXICO,4000,501166,18400,2405805
MZ,MOZAMBIQUE,0,0,275050,11359093
MM,MYANMAR,765000,27925532,3585050,141650395
NP,NEPAL,0,0,49500,1870977
NL,NETHERLANDS,22000,1097865,346500,16998046
NC,NEW CALEDONIA,31000,1301638,269250,11622322
NZ,NEW ZEALAND,744750,38175680,5680410,264892402
NG,NIGERIA,0,0,575000,13998372
PK,PAKISTAN,9600,478518,555625,24248904
PG,PAPUA NEW GUINEA,45900,2271144,394600,19290586
PH,PHILIPPINES,233000,9944853,3748025,154092664
PL,POLAND,0,0,373500,16892679
PT,PORTUGAL,0,0,150000,5938094
QA,QATAR,0,0,25500,1160794
RE,REUNION,52500,2597439,356500,17460896
RU,RUSSIAN FEDERATION,18000,731809,2368650,103853423
WS,SAMOA,0,0,40200,2168684
SA,SAUDI ARABIA,0,0,17500,710700
SN,SENEGAL,13500,643721,456800,20337312
SC,SEYCHELLES,13975,1021876,13975,1021876
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,600,63676,299975,12482454
SI,SLOVENIA,0,0,198000,7917693
SB,SOLOMON ISLANDS,14125,756574,28325,1516853
SO,SOMALIA,0,0,14200,770799
ZA,SOUTH AFRICA,257500,10772303,4659125,189492906
ES,SPAIN,0,0,49500,2023650
LK,SRI LANKA,53000,2159868,1305075,53341783
SE,SWEDEN,0,0,296200,15681336
CH,SWITZERLAND,0,0,8,246
SY,SYRIAN ARAB REPUBLIC,0,0,226500,11171686
TW,"TAIWAN, PROVINCE OF CHINA",70000,2935108,547095,28696453
TG,TOGO,0,0,1680000,63998081
TR,TÜRKIYE,28400,1485271,320300,16388092
UA,UKRAINE,0,0,1216475,51650467
AE,UNITED ARAB EMIRATES,277075,11791621,1680125,72817860
GB,UNITED KINGDOM,0,0,35000,1466742
US,UNITED STATES,0,0,41150,1846519
VN,VIETNAM,6216875,239555613,43277730,1710490638
YE,YEMEN,0,0,16000,640444
SUM,SUM,38619380,1560512878,422281072,17373377759
