"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
AU,AUSTRALIA,2,186,55,1844
KH,CAMBODIA,25286,1664940,59873,3130110
CN,CHINA,0,0,52000,1395254
FJ,FIJI,0,0,74,310797
DE,GERMANY,2040,17826,2040,17826
IN,INDIA,96000,2776556,288000,8867268
ID,INDONESIA,0,0,1,2066
IT,ITALY,0,0,74,10114
JP,JAPAN,1,3066,1,3066
LA,LAO PDR,3327,59826,31991,1929160
MY,MALAYSIA,23188,347848,23188,347848
MM,MYANMAR,0,0,144,21690
SG,SINGAPORE,25,309,25,309
CH,SWITZERLAND,0,0,25,331
AE,UNITED ARAB EMIRATES,0,0,74,10114
SUM,SUM,149869,4870557,457565,16047797
