"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
CN,CHINA,36000,4263224,174500,15448517
IN,INDIA,0,0,523300,70814805
ID,INDONESIA,60000,8934381,287700,32677988
KR,"KOREA,REPUBLIC OF",0,0,7000,861345
MX,MEXICO,0,0,74250,4402901
NZ,NEW ZEALAND,0,0,12000,1363335
PK,PAKISTAN,0,0,2000,257998
PH,PHILIPPINES,0,0,22,7600
VN,VIETNAM,3000,217456,10000,767576
SUM,SUM,99000,13415061,1090772,126602065
