"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
CN,CHINA,2675,126088,209025,8883649
HK,HONG KONG,0,0,152000,6221340
IN,INDIA,33000,1579305,130000,6129254
ID,INDONESIA,108700,5107957,643606,30942956
JP,JAPAN,0,0,2300,264812
MX,MEXICO,0,0,30000,1444131
PH,PHILIPPINES,16000,1223199,16000,1223199
VN,VIETNAM,71500,2959941,354500,16797657
SUM,SUM,231875,10996490,1537431,71906998
