"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'FOB (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'FOB (Baht)')"
AR,ARGENTINA,0,0,72000,4671222
AU,AUSTRALIA,0,0,186813,5583410
BD,BANGLADESH,49500,3977403,318250,25372753
BE,BELGIUM,300000,32812988,2329340,238508690
KH,CAMBODIA,106,38000,343304,51121393
CA,CANADA,0,0,500,4123
CN,CHINA,384250,19163654,4368754,375168575
CO,COLOMBIA,0,0,17,12683
CZ,CZECH REPUBLIC,0,0,992,69489
EG,EGYPT,0,0,144000,8261343
DE,GERMANY,0,0,1706,75504
GN,GUINEA,0,0,109000,2664299
HK,HONG KONG,0,0,1,17
IN,INDIA,410300,32322675,5849000,431594454
ID,INDONESIA,199345,22038248,2305796,189992648
JP,JAPAN,24425,2419507,517033,42107541
KR,"KOREA,REPUBLIC OF",21325,1910594,66300,6158373
LA,LAO PDR,0,118,1833,277094
MG,MADAGASCAR,247500,7297285,330000,9775312
MY,MALAYSIA,48025,4970026,525322,46332179
MU,MAURITIUS,32400,927185,113400,3093866
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,0,0,27556,2715833
NL,NETHERLANDS,0,0,20,2000
PK,PAKISTAN,0,0,82375,6559698
PH,PHILIPPINES,10650,1036868,236023,18515589
SA,SAUDI ARABIA,48300,3606288,401675,29878819
SG,SINGAPORE,0,0,1095,227111
ZA,SOUTH AFRICA,0,0,94060,7436130
LK,SRI LANKA,0,0,16088,386731
TW,"TAIWAN, PROVINCE OF CHINA",750,175359,435650,45235141
AE,UNITED ARAB EMIRATES,126150,8871534,577600,28979462
US,UNITED STATES,0,0,13775,1178795
VN,VIETNAM,46599,4021128,400116,30143821
SUM,SUM,1949625,145588860,19885394,1612978247
