"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
AU,AUSTRALIA,708190,27705515,708190,27705515
BD,BANGLADESH,4081000,154429771,4081000,154429771
BR,BRAZIL,456000,16878780,456000,16878780
KH,CAMBODIA,669500,22520222,669500,22520222
CN,CHINA,9985287,360617369,9985287,360617369
CO,COLOMBIA,120000,4233644,120000,4233644
DJ,DJIBOUTI,132000,4996678,132000,4996678
EC,ECUADOR,17000,762283,17000,762283
FJ,FIJI,29500,1060945,29500,1060945
HK,HONG KONG,986000,34239175,986000,34239175
IN,INDIA,1160500,43093881,1160500,43093881
ID,INDONESIA,7066750,269387166,7066750,269387166
IL,ISRAEL,68000,2609149,68000,2609149
IT,ITALY,100,2653,100,2653
JP,JAPAN,252415,11025920,252415,11025920
LA,LAO PDR,69000,2730527,69000,2730527
MY,MALAYSIA,1355660,51640827,1355660,51640827
MU,MAURITIUS,75500,2884327,75500,2884327
MM,MYANMAR,102000,3780645,102000,3780645
NZ,NEW ZEALAND,33000,1318032,33000,1318032
PK,PAKISTAN,1451000,46362614,1451000,46362614
PH,PHILIPPINES,1675041,63864567,1675041,63864567
QA,QATAR,208500,6657170,208500,6657170
SG,SINGAPORE,46000,1763935,46000,1763935
ZA,SOUTH AFRICA,34700,1719624,34700,1719624
LK,SRI LANKA,16000,554392,16000,554392
TW,"TAIWAN, PROVINCE OF CHINA",82260,4017280,82260,4017280
TZ,TANZANIA UNITED REPUBLIC OF,24000,1030334,24000,1030334
TT,TRINIDAD AND TOBAGO,96000,2723076,96000,2723076
TR,TÜRKIYE,214000,6758169,214000,6758169
AE,UNITED ARAB EMIRATES,312000,11536941,312000,11536941
US,UNITED STATES,126900,4866055,126900,4866055
VN,VIETNAM,2001400,77783114,2001400,77783114
SUM,SUM,33655203,1245554780,33655203,1245554780
