"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
CN,CHINA,25792,519458,277417,10974820
HK,HONG KONG,0,0,168000,6790348
IN,INDIA,25,997,130025,6130251
ID,INDONESIA,110600,5135549,979766,46588374
JP,JAPAN,0,0,28825,1507085
MX,MEXICO,0,0,60000,2843748
PK,PAKISTAN,0,0,2850,332461
PH,PHILIPPINES,0,0,16000,1223199
SG,SINGAPORE,0,0,300,11995
VN,VIETNAM,112000,5609541,694500,32916766
SUM,SUM,248417,11265545,2357683,109319047
