"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'FOB (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'FOB (Baht)')"
BD,BANGLADESH,32500,668695,65000,1372737
BN,BRUNEI DARUSSALAM,10000,366877,30025,1109832
CN,CHINA,0,0,6225,334950
IN,INDIA,0,0,48000,2306808
JP,JAPAN,0,0,903,132512
LA,LAO PDR,0,0,24150,741710
MY,MALAYSIA,0,0,50025,1370202
PG,PAPUA NEW GUINEA,0,0,26,8602
ES,SPAIN,0,0,16,418
TR,TÜRKIYE,0,0,54600,4009952
GB,UNITED KINGDOM,0,0,20,619
US,UNITED STATES,0,0,32375,2392073
VN,VIETNAM,38000,1309640,361003,12752102
SUM,SUM,80500,2345212,672368,26532517
