"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AU,AUSTRALIA,501050,25760999,501050,25760999
BD,BANGLADESH,219500,10781579,219500,10781579
CN,CHINA,41412100,2348211817,41412100,2348211817
FJ,FIJI,6000,289874,6000,289874
IN,INDIA,2032810,125924175,2032810,125924175
ID,INDONESIA,7398630,366234213,7398630,366234213
JP,JAPAN,6580250,375444521,6580250,375444521
KR,"KOREA,REPUBLIC OF",739000,55404431,739000,55404431
MY,MALAYSIA,2085700,97692595,2085700,97692595
MM,MYANMAR,321000,13359336,321000,13359336
NZ,NEW ZEALAND,356500,18367916,356500,18367916
PH,PHILIPPINES,564500,26418427,564500,26418427
RU,RUSSIAN FEDERATION,31000,1394392,31000,1394392
SG,SINGAPORE,169800,12274031,169800,12274031
TW,"TAIWAN, PROVINCE OF CHINA",635400,32737645,635400,32737645
US,UNITED STATES,1500,155065,1500,155065
VN,VIETNAM,1491040,82553681,1491040,82553681
SUM,SUM,64545780,3593004697,64545780,3593004697
