"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'FOB (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'FOB (Baht)')"
AT,AUSTRIA,0,0,7,348
CN,CHINA,0,0,349000,9794752
FR,FRANCE,0,0,5,326
DE,GERMANY,0,0,169,3745
HK,HONG KONG,276,32925,1394,98351
IN,INDIA,51500,1355477,527050,15663104
ID,INDONESIA,0,0,12400,991184
MY,MALAYSIA,0,0,0,95
MM,MYANMAR,0,0,500,7200
NO,NORWAY,2,64,2,64
PH,PHILIPPINES,16002,1023484,34352,1595823
SG,SINGAPORE,0,320,5,1168
VU,VANUATU,0,0,101,31500
SUM,SUM,67780,2412270,924985,28187660
