"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
CN,CHINA,1400,98069,1860,143427
ET,ETHIOPIA,0,0,32000,884457
HK,HONG KONG,0,0,2060,124562
IN,INDIA,0,0,500,59953
ID,INDONESIA,0,0,40,10876
JP,JAPAN,600,282122,600,282122
MY,MALAYSIA,40,11520,40,11520
PH,PHILIPPINES,123750,5129173,123750,5129173
TW,"TAIWAN, PROVINCE OF CHINA",24000,611609,24000,611609
US,UNITED STATES,0,31,0,31
SUM,SUM,149790,6132524,184850,7257730
