"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2022', 'Quantity')","('Sept 2022', 'FOB (Baht)')","('Jan - Sept 2022', 'Quantity')","('Jan - Sept 2022', 'FOB (Baht)')"
AU,AUSTRALIA,45000,1098908,73022,3064055
BD,BANGLADESH,0,0,326038,32908608
BE,BELGIUM,276000,29674387,2038800,220453345
KH,CAMBODIA,60,16000,114461,18227334
CN,CHINA,315285,20889134,2057335,126188243
EG,EGYPT,0,0,24125,2386093
DE,GERMANY,48000,5332136,48068,5340956
HK,HONG KONG,0,0,5217,506918
IN,INDIA,462250,48647879,4025750,384745128
ID,INDONESIA,127225,13477419,1753005,169481522
IT,ITALY,0,0,50,4631
JP,JAPAN,43966,4016096,372214,33122540
KR,"KOREA,REPUBLIC OF",53526,6258100,172841,19007746
LA,LAO PDR,457,84486,1973,422300
MY,MALAYSIA,42001,5748439,314944,38956857
MU,MAURITIUS,0,0,243000,7491890
MX,MEXICO,0,0,16000,1219383
MM,MYANMAR,1420,130090,6566,571368
PK,PAKISTAN,0,0,1500,343665
PH,PHILIPPINES,5000,499550,96532,9985948
SA,SAUDI ARABIA,24000,2991776,337925,33329204
SG,SINGAPORE,4808,1130525,5833,1241157
ZA,SOUTH AFRICA,81100,7820512,423900,38947730
LK,SRI LANKA,0,0,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",46000,5373347,373300,41976248
AE,UNITED ARAB EMIRATES,60000,6942117,535650,41055912
US,UNITED STATES,0,0,10000,752588
VN,VIETNAM,66372,6005205,473237,42370969
SUM,SUM,1702470,166136106,13852753,1274134624
