"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
KH,CAMBODIA,1250,17500,1750,35500
CN,CHINA,1287000,53949177,3343019,142596542
HK,HONG KONG,0,0,2310,2007
IN,INDIA,391,271601,1625,1148959
ID,INDONESIA,0,0,30025,1742596
JP,JAPAN,50,2440,3200,13393
KR,"KOREA,REPUBLIC OF",1025,31849,1025,31849
MY,MALAYSIA,56230,3206048,278984,16044773
PH,PHILIPPINES,18008,1000988,91133,3995147
SUM,SUM,1363954,58479603,3753071,165610766
