"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
BD,BANGLADESH,0,0,7200,397144
CN,CHINA,0,0,100,15340
HK,HONG KONG,0,0,31173,1811998
IN,INDIA,0,0,30530,1943047
ID,INDONESIA,368200,17083863,4502750,198830780
JP,JAPAN,50,690,18960,1142663
KR,"KOREA,REPUBLIC OF",0,0,1050,47125
LA,LAO PDR,4608,349296,4608,349296
MY,MALAYSIA,0,0,112800,8645468
PK,PAKISTAN,0,0,4000,256574
TW,"TAIWAN, PROVINCE OF CHINA",25,196,883,11462
US,UNITED STATES,1000,141614,3010,414711
VN,VIETNAM,0,0,200,17125
SUM,SUM,373883,17575659,4717264,213882733
