"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
AU,AUSTRALIA,643020,28180143,954660,39089355
BD,BANGLADESH,231400,9891363,758400,33589438
KH,CAMBODIA,0,0,3475,41700
CN,CHINA,4407600,192264316,8873600,390793301
CI,COTE D IVOIRE,17000,776298,17000,776298
HK,HONG KONG,18500,822384,18500,822384
IN,INDIA,1214425,47052107,1671200,65671859
ID,INDONESIA,2528750,106611088,5936400,269058640
IL,ISRAEL,89000,3958125,185000,8415025
IT,ITALY,0,0,25,1611
JP,JAPAN,232650,11197179,384675,19017903
KR,"KOREA,REPUBLIC OF",12000,569119,12000,569119
LA,LAO PDR,15000,628653,116000,4902584
MY,MALAYSIA,410500,18702395,609500,28632361
MM,MYANMAR,0,0,170000,7757836
NZ,NEW ZEALAND,333480,14914432,528480,23867343
OM,OMAN,51000,2018030,51000,2018030
PK,PAKISTAN,180875,7974371,233750,12765703
PH,PHILIPPINES,575500,24992074,1011575,43339625
SG,SINGAPORE,0,0,17000,691433
ZA,SOUTH AFRICA,700,66286,2800,268947
LK,SRI LANKA,17000,763506,34000,1508033
TW,"TAIWAN, PROVINCE OF CHINA",24750,1104081,32750,1591468
TZ,TANZANIA UNITED REPUBLIC OF,0,0,33000,1449993
TR,TÜRKIYE,36500,1451193,189300,7760614
VN,VIETNAM,885550,34151072,1088550,43543046
SUM,SUM,11925200,508088215,22932640,1007943649
