"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'FOB (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,60000,2655595
BD,BANGLADESH,102000,4365252,1575000,70707206
CN,CHINA,9542425,332431780,75666370,2857337882
IN,INDIA,1428000,54227804,10926050,469274101
ID,INDONESIA,0,0,486256,23199229
JP,JAPAN,0,0,34152,5083785
MY,MALAYSIA,10500,913997,81832,6335743
MU,MAURITIUS,0,0,1000,42740
PK,PAKISTAN,17000,705543,120000,5492804
PH,PHILIPPINES,0,0,9060,568582
SG,SINGAPORE,0,0,12600,603771
LK,SRI LANKA,0,0,75,2994
TW,"TAIWAN, PROVINCE OF CHINA",0,0,34000,1335284
US,UNITED STATES,0,0,136000,6260331
UZ,UZBEKISTAN,0,0,96000,4575190
VN,VIETNAM,132000,9567714,687268,37175043
SUM,SUM,11231925,402212090,89925663,3490650280
