"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
AU,AUSTRALIA,27500,2949853,46500,3555554
BD,BANGLADESH,7000,732794,12000,1139619
BR,BRAZIL,16500,1762659,33000,3536636
CA,CANADA,0,0,18000,1554012
CN,CHINA,163250,16473623,519255,49159529
HK,HONG KONG,1300,204057,10600,1529871
IN,INDIA,200050,16399099,377650,30093153
ID,INDONESIA,69050,6547708,196050,14170598
JP,JAPAN,52997,1499958,156347,3888116
KR,"KOREA,REPUBLIC OF",7000,671462,7000,671462
LA,LAO PDR,0,0,56000,2799953
LR,LIBERIA,160000,5269252,224000,7356174
MY,MALAYSIA,76475,5918739,131925,10399459
MM,MYANMAR,3500,287000,3500,287000
NL,NETHERLANDS,26000,707757,26000,707757
PK,PAKISTAN,11375,1264581,13675,1427123
PH,PHILIPPINES,0,0,9999,868101
ZA,SOUTH AFRICA,32000,883227,32000,883227
LK,SRI LANKA,56000,1289084,56000,1289084
TW,"TAIWAN, PROVINCE OF CHINA",83000,9942229,91100,10797650
US,UNITED STATES,0,0,8000,736168
VN,VIETNAM,1036,444540,5336,1086133
SUM,SUM,994033,73247622,2033937,147936379
