"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'FOB (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,379432
KH,CAMBODIA,0,0,40000,1990853
CN,CHINA,0,0,44000,3116204
DE,GERMANY,1100,48159,1100,48159
HK,HONG KONG,125,16272,1375,127046
ID,INDONESIA,5000,440887,38175,2991544
JP,JAPAN,0,0,1250,88414
PK,PAKISTAN,0,0,11750,1066471
PH,PHILIPPINES,0,0,79000,4476885
TW,"TAIWAN, PROVINCE OF CHINA",0,0,402,23113
VN,VIETNAM,36000,1888941,84000,4581966
SUM,SUM,42225,2394259,331052,18890087
