"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'FOB (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'FOB (Baht)')"
AU,AUSTRALIA,15000,744980,15000,744980
CN,CHINA,8222000,414501559,8222000,414501559
IN,INDIA,5134000,254841309,5134000,254841309
ID,INDONESIA,110050,5503446,110050,5503446
LA,LAO PDR,53,106584,53,106584
MU,MAURITIUS,1500,75472,1500,75472
PK,PAKISTAN,85000,4231292,85000,4231292
TW,"TAIWAN, PROVINCE OF CHINA",17000,848855,17000,848855
VN,VIETNAM,66000,3287000,66000,3287000
SUM,SUM,13650603,684140497,13650603,684140497
