"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
CN,CHINA,0,0,2300,146446
DE,GERMANY,0,0,1225,20704
HK,HONG KONG,0,0,674,97651
ID,INDONESIA,0,0,11500,780943
JP,JAPAN,0,0,1000,32655
MY,MALAYSIA,0,0,25,2023
MM,MYANMAR,0,0,39000,1571050
PH,PHILIPPINES,0,0,700,40957
SG,SINGAPORE,26,1295,621,35363
CH,SWITZERLAND,0,0,20,711
US,UNITED STATES,0,0,1,177
VN,VIETNAM,0,0,3000,193649
SUM,SUM,26,1295,60066,2922329
