"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,182000,26071186
BD,BANGLADESH,0,0,3000,162146
CN,CHINA,1753500,10871724,8851940,63292430
IN,INDIA,0,0,189418,6676610
ID,INDONESIA,0,0,8000,565108
JP,JAPAN,160000,6694552,1157625,47287385
KR,"KOREA,REPUBLIC OF",125,8855,225,21755
LA,LAO PDR,0,0,3000,112326
MY,MALAYSIA,0,0,20000,862422
LK,SRI LANKA,0,0,25,8277
AE,UNITED ARAB EMIRATES,0,0,16,493
US,UNITED STATES,0,0,28200,4078316
VN,VIETNAM,0,0,2300,212848
SUM,SUM,1913625,17575131,10445749,149351302
