"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2016', 'Quantity')","('Apr 2016', 'FOB (Baht)')","('Jan - Apr 2016', 'Quantity')","('Jan - Apr 2016', 'FOB (Baht)')"
AO,ANGOLA,83050,4809524,155050,7546442
AR,ARGENTINA,0,0,108000,4127127
AU,AUSTRALIA,381200,16799608,2398725,102424845
BH,BAHRAIN,24000,1068918,172800,7691386
BD,BANGLADESH,334600,16005298,1068400,48518370
BE,BELGIUM,0,0,598500,25500289
BR,BRAZIL,0,0,54000,2198896
KH,CAMBODIA,298900,13789016,1481775,69938390
CM,CAMEROON,0,0,144000,5677168
CA,CANADA,0,0,239500,12311372
CV,CAPE VERDE,27000,1281625,27000,1281625
CL,CHILE,0,0,76500,3454358
CN,CHINA,4715230,209309507,30248355,1293301551
CG,CONGO,13975,796632,27975,1567148
CI,COTE D IVOIRE,50,1818,666050,25628679
DK,DENMARK,0,0,34000,1456030
DJ,DJIBOUTI,0,0,270000,11300269
EC,ECUADOR,0,0,35000,1511545
EG,EGYPT,0,0,46500,2039700
FJ,FIJI,12000,515705,157350,8449084
FI,FINLAND,0,0,1375,62847
FR,FRANCE,0,0,143000,7033185
PF,FRENCH POLYNESIA,0,0,27000,1416596
GA,GABON,0,0,125600,4945499
GM,GAMBIA,0,0,18000,690684
DE,GERMANY,368000,18736754,1627700,83379877
GH,GHANA,414000,16848487,1741500,67943896
GR,GREECE,24000,1085097,96750,4274059
GN,GUINEA,14000,826715,14000,826715
IN,INDIA,656750,31194761,1580875,73643884
ID,INDONESIA,4288585,181163167,14820785,619300142
IL,ISRAEL,553475,25723334,2901525,136174418
JP,JAPAN,1162500,47262905,5784100,234668668
KZ,KAZAKHSTAN,70000,3020614,242000,10293383
KE,KENYA,278000,13355751,797025,38175469
KR,"KOREA,REPUBLIC OF",38000,4478942,106400,13176109
LA,LAO PDR,23000,956746,116113,4823963
LV,LATVIA,0,0,27000,1273457
MG,MADAGASCAR,40500,2049357,81000,4091868
MY,MALAYSIA,893500,37273998,3450825,144069109
ML,MALI,0,0,54000,2521522
MU,MAURITIUS,98575,4940158,308775,15819682
MZ,MOZAMBIQUE,138600,6266818,521200,21625049
MM,MYANMAR,207400,8662085,767900,32721386
NL,NETHERLANDS,44000,2391008,156000,8253377
NC,NEW CALEDONIA,0,0,58975,2841297
NZ,NEW ZEALAND,481000,20882664,1444000,61650960
NG,NIGERIA,136000,2442399,199000,3864126
OM,OMAN,228800,10150201,369600,16451744
PK,PAKISTAN,103500,5199218,175300,9340547
PG,PAPUA NEW GUINEA,86000,3814685,196000,9222744
PE,PERU,0,0,216000,8777338
PH,PHILIPPINES,69000,3430253,786950,34194782
PL,POLAND,17500,814555,272500,12023249
PT,PORTUGAL,48000,2255952,64500,2992590
QA,QATAR,28400,1654767,113575,6729368
RE,REUNION,31000,1485919,96000,4770515
RO,ROMANIA,0,0,48000,2198002
RU,RUSSIAN FEDERATION,34000,1420015,1112050,46335661
SN,SENEGAL,13500,663993,69550,3728052
SL,SIERRA LEONE,27000,1309234,216000,9343408
SG,SINGAPORE,17000,812386,189375,7985235
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,204000,8217962,408000,16401594
SO,SOMALIA,0,0,8006,832216
ZA,SOUTH AFRICA,218400,9291286,1106500,46561772
ES,SPAIN,0,0,48750,2077729
LK,SRI LANKA,17600,831718,280425,12343644
SD,SUDAN,0,0,13500,650878
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",400,16979,129000,5878028
TZ,TANZANIA UNITED REPUBLIC OF,0,0,70400,2997701
TG,TOGO,504000,19193644,864000,33125380
TR,TÜRKIYE,137700,7422049,384400,19451489
UA,UKRAINE,1000,42487,310100,14267908
AE,UNITED ARAB EMIRATES,316800,14159971,1362100,61547014
GB,UNITED KINGDOM,0,0,48000,2060117
UY,URUGUAY,0,0,10000,418512
VN,VIETNAM,1102250,50775561,5744348,252277915
YE,YEMEN,0,0,100,3924
SUM,SUM,19025740,836902246,89983882,3882563268
