"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'FOB (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,63000,3100268
BD,BANGLADESH,153000,7481175,578000,28103915
CN,CHINA,4639500,234720974,25203800,1272949201
IN,INDIA,696000,33249981,9259075,453988998
ID,INDONESIA,41000,2066092,308125,15271348
LA,LAO PDR,0,0,232,358099
MY,MALAYSIA,0,0,140,55040
MU,MAURITIUS,0,0,1500,75472
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,0,0,90000,4490449
PH,PHILIPPINES,51000,2515698,51000,2515698
SG,SINGAPORE,1000,51372,1000,51372
LK,SRI LANKA,0,0,68000,3359309
TW,"TAIWAN, PROVINCE OF CHINA",0,0,17000,848855
US,UNITED STATES,19000,952555,19000,952555
VN,VIETNAM,225946,11220279,369946,18326674
SUM,SUM,5826446,292258126,36081818,1805597788
