"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'FOB (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'FOB (Baht)')"
AU,AUSTRALIA,693720,29598765,1586440,65453910
BD,BANGLADESH,117500,5100380,719250,32014485
BE,BELGIUM,0,0,30000,2647653
BN,BRUNEI DARUSSALAM,0,0,18000,814091
KH,CAMBODIA,191000,8679516,987000,42827325
CA,CANADA,202500,9236877,298500,12847539
CL,CHILE,225000,9621007,300000,12462887
CN,CHINA,7596335,311522500,22492790,953670680
CO,COLOMBIA,0,0,50000,2144500
CZ,CZECH REPUBLIC,0,0,2000,85679
DJ,DJIBOUTI,419000,17219436,1321500,50123879
FJ,FIJI,36250,1613471,211250,8883143
PF,FRENCH POLYNESIA,18000,796160,54000,2318371
DE,GERMANY,9600,356224,9600,356224
HK,HONG KONG,180000,7315735,772000,31914216
IN,INDIA,2497425,111237858,6542937,279409307
ID,INDONESIA,4115500,191157155,13150300,587195344
IL,ISRAEL,2000,80150,2000,80150
JP,JAPAN,576200,25201432,2560433,105189904
KZ,KAZAKHSTAN,34000,1524043,68000,3000813
KE,KENYA,0,0,17250,839300
KR,"KOREA,REPUBLIC OF",575000,25089243,2900571,124746440
LA,LAO PDR,718900,31697786,2158175,92786171
MY,MALAYSIA,575380,26070057,1553280,66986743
MU,MAURITIUS,22500,989856,28500,1266008
MX,MEXICO,60000,1812942,128000,3883464
MM,MYANMAR,365710,15574449,1143110,48014049
NP,NEPAL,51000,817533,97000,2019714
NL,NETHERLANDS,2000,90837,2000,90837
NC,NEW CALEDONIA,36000,1592320,36000,1592320
NZ,NEW ZEALAND,152000,6740642,454250,19590422
NG,NIGERIA,0,0,72000,3041599
PG,PAPUA NEW GUINEA,18000,796160,34000,1499076
PE,PERU,500000,20711197,500000,20711197
PH,PHILIPPINES,441750,19502243,1215750,52694071
PT,PORTUGAL,100020,3741209,280020,9781568
RE,REUNION,0,0,47000,1742640
RU,RUSSIAN FEDERATION,0,0,40,1636
SG,SINGAPORE,143000,6303257,194660,8688730
LK,SRI LANKA,52500,2541430,136000,6208627
TW,"TAIWAN, PROVINCE OF CHINA",832500,37227552,4182000,186123218
TZ,TANZANIA UNITED REPUBLIC OF,0,0,18000,761841
TR,TÜRKIYE,99000,5172367,116250,6022157
AE,UNITED ARAB EMIRATES,4,2955,60012,1384130
US,UNITED STATES,0,0,12000,507894
VN,VIETNAM,3691282,159755831,13558355,589695478
SUM,SUM,25350576,1096490575,80120223,3444119430
