"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
AU,AUSTRALIA,11000,1036038,77000,7089800
CN,CHINA,114000,4689883,749973,32855832
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,16000,588456,176000,7021529
IN,INDIA,10000,376691,10200,396288
ID,INDONESIA,109000,4999438,445400,19979669
JP,JAPAN,0,0,46600,2401019
KR,"KOREA,REPUBLIC OF",0,0,5000,523825
MX,MEXICO,30000,1391951,105000,4795738
PK,PAKISTAN,0,0,375,61368
TW,"TAIWAN, PROVINCE OF CHINA",0,0,200,32000
TR,TÜRKIYE,51,497,51,497
VN,VIETNAM,78500,3153025,311200,12700162
SUM,SUM,368551,16235979,2105499,94423296
