"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2020', 'Quantity')","('Apr 2020', 'FOB (Baht)')","('Jan - Apr 2020', 'Quantity')","('Jan - Apr 2020', 'FOB (Baht)')"
AU,AUSTRALIA,785400,25551472,2830675,88666296
BH,BAHRAIN,49500,1404459,49500,1404459
BD,BANGLADESH,138000,5134310,1137000,33067194
BR,BRAZIL,0,0,750,30642
KH,CAMBODIA,545200,18640293,2751075,87952283
CA,CANADA,96000,3172902,534275,17711924
CN,CHINA,23458195,618370535,59794250,1647764048
CG,CONGO,210000,5386999,210000,5386999
CI,COTE D IVOIRE,0,0,42000,1246489
DJ,DJIBOUTI,175000,5035806,1283300,34587046
FJ,FIJI,55000,1605082,130075,4265636
FR,FRANCE,144000,4692612,275975,9278716
PF,FRENCH POLYNESIA,27000,962369,93500,2966572
GA,GABON,14000,444569,41000,1398403
DE,GERMANY,184750,7224532,1011375,39065593
GH,GHANA,50600,2211926,50600,2211926
GR,GREECE,15000,516577,63000,2476264
IN,INDIA,224500,7488573,1539400,50762971
ID,INDONESIA,3787350,97499531,18911825,493712566
IL,ISRAEL,357250,10166054,1724475,54873827
JP,JAPAN,1856950,53960748,7874324,225921277
KZ,KAZAKHSTAN,34000,848311,34000,848311
KE,KENYA,198000,5106680,645000,17418889
KR,"KOREA,REPUBLIC OF",20000,2215782,101000,9148910
LA,LAO PDR,121000,3294706,429500,12059630
LV,LATVIA,0,0,25500,804151
LT,LITHUANIA,11675,505828,50650,1834556
MG,MADAGASCAR,14000,500788,91000,3182317
MY,MALAYSIA,1029000,27617920,7616725,207949113
MU,MAURITIUS,2000,63199,290500,11633273
MX,MEXICO,0,0,11300,1421570
MZ,MOZAMBIQUE,17500,435820,53000,1404926
MM,MYANMAR,282000,8183222,2249675,66403403
nan,NAMIBIA,200,5589,200,5589
NL,NETHERLANDS,44000,1832932,334175,13400090
NC,NEW CALEDONIA,63000,1880346,130500,4113082
NZ,NEW ZEALAND,472000,15693534,2254425,73697271
NG,NIGERIA,136000,3040698,1020000,21851480
OM,OMAN,24750,744832,24750,744832
PK,PAKISTAN,4600,184287,47700,1580271
PG,PAPUA NEW GUINEA,14200,598159,18950,731927
PH,PHILIPPINES,366000,10468829,3023625,82862291
PL,POLAND,0,0,308000,9436808
QA,QATAR,0,0,210000,5866657
RE,REUNION,64500,2480536,132000,4945910
RO,ROMANIA,45000,1571860,90000,3148011
RU,RUSSIAN FEDERATION,218200,6786198,826100,24055459
WS,SAMOA,14200,581817,14200,581817
SA,SAUDI ARABIA,17500,550041,17500,550041
SN,SENEGAL,83800,3366218,264025,10607818
SG,SINGAPORE,75000,4334652,256750,11379227
SB,SOLOMON ISLANDS,0,0,13925,581763
SO,SOMALIA,0,0,119800,3848401
ZA,SOUTH AFRICA,175000,5244102,603600,17657098
LK,SRI LANKA,116300,3696866,215300,6647757
SE,SWEDEN,48000,2013263,95800,3927638
TW,"TAIWAN, PROVINCE OF CHINA",161000,5816716,411500,14037437
TL,TIMOR-LESTE,5000,218720,5000,218720
TR,TÜRKIYE,0,0,67550,2979936
UA,UKRAINE,160500,5116592,717500,22807801
AE,UNITED ARAB EMIRATES,224500,6600594,1050400,30501440
GB,UNITED KINGDOM,0,0,693000,19543681
VN,VIETNAM,7957600,229243756,21728300,609354537
YE,YEMEN,0,0,123750,3504156
SUM,SUM,44393720,1230312742,146764549,4144029126
