"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
AU,AUSTRALIA,6000,472387,21425,1795846
CN,CHINA,45700,4840187,454370,48154240
IN,INDIA,413615,30317354,3642703,283049570
ID,INDONESIA,108000,5831321,555025,38212913
JP,JAPAN,150,6208,7650,506953
KR,"KOREA,REPUBLIC OF",0,0,3650,507152
MY,MALAYSIA,0,0,217775,20636107
MM,MYANMAR,33,85800,51,132600
PH,PHILIPPINES,18000,1126224,145865,10474978
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12000,852103
SUM,SUM,591498,42679481,5060514,404322462
