"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
BD,BANGLADESH,4000,187835,20750,597030
BN,BRUNEI DARUSSALAM,0,0,34000,1385083
KH,CAMBODIA,0,0,5000,267947
CN,CHINA,0,0,100,104
HK,HONG KONG,0,0,2150,113858
IN,INDIA,0,0,4403,322928
ID,INDONESIA,447000,20409381,4427050,213331269
JP,JAPAN,0,0,3500,184284
KR,"KOREA,REPUBLIC OF",82540,2531810,196940,6821501
MY,MALAYSIA,0,0,29050,1941121
PK,PAKISTAN,6700,615130,74275,6926934
SG,SINGAPORE,0,0,50,1748
ZA,SOUTH AFRICA,0,0,14,100
TW,"TAIWAN, PROVINCE OF CHINA",50,12346,926,74977
US,UNITED STATES,995,132424,1992,288543
VN,VIETNAM,50000,1840061,251000,9933297
SUM,SUM,591285,25728987,5051200,242190724
