"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
DZ,ALGERIA,182500,10693799,182500,10693799
AU,AUSTRALIA,297000,16248623,297000,16248623
BD,BANGLADESH,126000,6140507,126000,6140507
BE,BELGIUM,249000,12049762,249000,12049762
BJ,BENIN,17600,939330,17600,939330
BR,BRAZIL,374800,18119884,374800,18119884
KH,CAMBODIA,420000,22683535,420000,22683535
CN,CHINA,14583375,748152366,14583375,748152366
CI,COTE D IVOIRE,702000,34770237,702000,34770237
DK,DENMARK,51000,2623443,51000,2623443
DJ,DJIBOUTI,72000,3555898,72000,3555898
EC,ECUADOR,52500,2745362,52500,2745362
FI,FINLAND,228000,12830434,228000,12830434
FR,FRANCE,362000,19967810,362000,19967810
DE,GERMANY,135000,7813339,135000,7813339
GH,GHANA,504000,24703906,504000,24703906
GR,GREECE,72000,3916881,72000,3916881
IN,INDIA,268900,14695248,268900,14695248
ID,INDONESIA,8261970,421459328,8261970,421459328
IL,ISRAEL,414600,24890897,414600,24890897
JP,JAPAN,724000,38402379,724000,38402379
KE,KENYA,71000,4124241,71000,4124241
KR,"KOREA,REPUBLIC OF",1000,53874,1000,53874
LA,LAO PDR,26000,1352184,26000,1352184
LY,LIBYAN ARAB JAMAHIRIYA,120000,7224472,120000,7224472
LT,LITHUANIA,17600,950213,17600,950213
MG,MADAGASCAR,13500,773818,13500,773818
MY,MALAYSIA,636000,33944308,636000,33944308
MV,MALDIVES,17600,908471,17600,908471
MU,MAURITIUS,17100,945635,17100,945635
MZ,MOZAMBIQUE,71600,3538015,71600,3538015
MM,MYANMAR,28400,2020171,28400,2020171
NL,NETHERLANDS,65500,3766035,65500,3766035
NC,NEW CALEDONIA,18000,918026,18000,918026
NZ,NEW ZEALAND,294200,16225274,294200,16225274
PG,PAPUA NEW GUINEA,56800,3767007,56800,3767007
PH,PHILIPPINES,444750,23352015,444750,23352015
PL,POLAND,221875,12565618,221875,12565618
PT,PORTUGAL,204000,10371371,204000,10371371
RE,REUNION,54000,3078589,54000,3078589
RU,RUSSIAN FEDERATION,35200,1871570,35200,1871570
SG,SINGAPORE,17875,1005410,17875,1005410
ZA,SOUTH AFRICA,54000,3029744,54000,3029744
ES,SPAIN,48750,2560127,48750,2560127
LK,SRI LANKA,157500,8155927,157500,8155927
SE,SWEDEN,96000,5279489,96000,5279489
TG,TOGO,234000,11520354,234000,11520354
TR,TÜRKIYE,186100,9960836,186100,9960836
UA,UKRAINE,305200,16262101,305200,16262101
AE,UNITED ARAB EMIRATES,342000,16884705,342000,16884705
VN,VIETNAM,1171950,60431817,1171950,60431817
SUM,SUM,33125745,1714244385,33125745,1714244385
