"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,11,201
BN,BRUNEI DARUSSALAM,12000,566813,12000,566813
CN,CHINA,0,0,133200,1396719
JP,JAPAN,0,0,125,6679
PG,PAPUA NEW GUINEA,0,0,62,19636
SG,SINGAPORE,0,0,0,50
TW,"TAIWAN, PROVINCE OF CHINA",25,2116,25,2116
TR,TÜRKIYE,9000,700778,58800,4388912
US,UNITED STATES,18567,1552007,55567,4327041
VN,VIETNAM,19000,1215661,343000,19773864
SUM,SUM,58592,4037375,602790,30482031
