"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2016', 'Quantity')","('Oct 2016', 'FOB (Baht)')","('Jan - Oct 2016', 'Quantity')","('Jan - Oct 2016', 'FOB (Baht)')"
BE,BELGIUM,0,0,8,725
KH,CAMBODIA,0,0,916,309963
CN,CHINA,0,0,64,5800
FR,FRANCE,166,25285,166,25285
DE,GERMANY,0,0,3580,77778
HK,HONG KONG,0,0,529,75736
IN,INDIA,112000,5184152,965300,42778086
ID,INDONESIA,0,0,50,3397
JP,JAPAN,0,0,1704,135045
KE,KENYA,0,0,105000,6953790
LA,LAO PDR,9154,799360,65060,4832352
MY,MALAYSIA,60,80813,419,573952
NG,NIGERIA,0,0,30000,2058190
NO,NORWAY,0,0,50,7585
PH,PHILIPPINES,0,0,25,1330
SG,SINGAPORE,2018,135802,34577,2351806
LK,SRI LANKA,2000,104754,12000,641144
CH,SWITZERLAND,0,0,3,0
TW,"TAIWAN, PROVINCE OF CHINA",100,15171,49333,3709456
AE,UNITED ARAB EMIRATES,0,0,66,10114
GB,UNITED KINGDOM,166,25285,398,60684
SUM,SUM,125664,6370622,1269248,64612218
