"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'FOB (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'FOB (Baht)')"
AU,AUSTRALIA,15000,754024,132000,6521006
BD,BANGLADESH,0,0,1088000,53554464
KH,CAMBODIA,0,0,1320,132605
CN,CHINA,4488000,230954758,58020725,2940691482
IN,INDIA,3488000,180888334,20684075,1040578754
ID,INDONESIA,106900,5703678,680125,34539508
JP,JAPAN,0,0,12010,717738
LA,LAO PDR,10,16201,293,465904
MY,MALAYSIA,18842,1078331,75722,4608592
MU,MAURITIUS,0,0,4500,222417
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,16000,839147,157000,7979890
PH,PHILIPPINES,0,0,58325,3149031
SA,SAUDI ARABIA,0,0,24000,1214313
SC,SEYCHELLES,950,23750,970,24375
SG,SINGAPORE,12200,649359,16400,868321
LK,SRI LANKA,17000,867577,153000,7653872
TW,"TAIWAN, PROVINCE OF CHINA",0,0,72025,4304380
US,UNITED STATES,0,0,114000,5703422
VN,VIETNAM,0,0,995946,49688795
SUM,SUM,8162902,421775159,82342436,4163769404
