"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
AU,AUSTRALIA,879100,29384222,5875000,215013951
BH,BAHRAIN,0,0,147000,5502490
BD,BANGLADESH,157000,6157562,3216600,110426158
BN,BRUNEI DARUSSALAM,2000,62891,2000,62891
KH,CAMBODIA,1140000,42164123,5683550,226962203
CA,CANADA,182750,7176029,809575,33547273
CN,CHINA,48015480,1465947354,284583745,9672671330
CI,COTE D IVOIRE,0,0,168000,6415457
DJ,DJIBOUTI,332500,11009546,2445175,83905021
FJ,FIJI,55200,1998077,128400,4663450
FR,FRANCE,117100,4849827,182125,7922236
PF,FRENCH POLYNESIA,55000,2138239,244000,10047432
GA,GABON,0,0,27000,1131940
DE,GERMANY,344750,14449430,1644275,71796373
GH,GHANA,105000,3016018,1242500,37731287
GT,GUATEMALA,0,0,175500,6874959
GN,GUINEA,70000,2010679,70000,2010679
IN,INDIA,170500,7894525,1660800,71207011
ID,INDONESIA,6536200,196998506,33385250,1112835089
IE,IRELAND,0,0,140000,5181828
IL,ISRAEL,635350,24706603,6563750,251328945
IT,ITALY,24750,832162,24750,832162
JP,JAPAN,1762850,55829699,13544530,470382373
KZ,KAZAKHSTAN,35000,1149206,409000,14097670
KE,KENYA,104900,4454781,601000,27291011
KR,"KOREA,REPUBLIC OF",15000,1583704,132250,14172507
LA,LAO PDR,80000,2326775,965690,31806714
LY,LIBYAN ARAB JAMAHIRIYA,0,0,14200,712298
LT,LITHUANIA,0,0,25500,1407017
MG,MADAGASCAR,12000,484114,148400,6418293
MY,MALAYSIA,1729925,55352301,15775925,552065584
MV,MALDIVES,0,0,9829,388071
ML,MALI,0,0,54000,2255067
MU,MAURITIUS,132775,5286057,746375,33892855
MX,MEXICO,0,0,5000,621598
MZ,MOZAMBIQUE,0,0,153950,5219654
MM,MYANMAR,201900,6875027,3218450,113510157
NL,NETHERLANDS,44000,2160487,314000,14683539
NC,NEW CALEDONIA,0,0,49500,1868472
NZ,NEW ZEALAND,564150,21838717,4199450,164633443
NG,NIGERIA,1174000,25630748,4473000,98674131
OM,OMAN,17500,599961,35000,1213311
PK,PAKISTAN,7025,309701,66050,3111206
PG,PAPUA NEW GUINEA,48650,1827871,190850,8095017
PH,PHILIPPINES,313725,10484945,2126225,74806377
PL,POLAND,84500,2936625,545000,20556429
RE,REUNION,27000,1078962,212200,9307501
RO,ROMANIA,0,0,24000,972816
RU,RUSSIAN FEDERATION,87700,2980222,526100,19439188
SN,SENEGAL,0,0,205725,8937192
SC,SEYCHELLES,0,0,14075,945649
SL,SIERRA LEONE,24000,905670,24000,905670
SG,SINGAPORE,49500,1644463,144000,5620122
SO,SOMALIA,0,0,49400,1976485
ZA,SOUTH AFRICA,371500,11558716,811000,27119301
LK,SRI LANKA,61700,2098851,256200,9275988
SE,SWEDEN,0,0,165925,7978394
TW,"TAIWAN, PROVINCE OF CHINA",39550,1819954,338275,16584112
TR,TÜRKIYE,14200,673899,132950,6348509
UA,UKRAINE,83500,3212790,1151650,45012142
AE,UNITED ARAB EMIRATES,158800,5950218,1747500,65843413
GB,UNITED KINGDOM,17500,615265,121500,4317535
VN,VIETNAM,5730225,179095619,39172875,1300072580
YE,YEMEN,74250,2316219,127050,4315206
SUM,SUM,71890005,2233877360,441446594,15134924762
