"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AO,ANGOLA,0,0,103500,4817827
AU,AUSTRALIA,853560,43447157,3889190,183118769
BD,BANGLADESH,112000,6854605,779500,39120061
BE,BELGIUM,0,0,12000,1326840
BN,BRUNEI DARUSSALAM,18000,1102387,18000,1102387
KH,CAMBODIA,235500,13330230,1483800,72392147
CM,CAMEROON,99000,5201356,148500,7685019
CA,CANADA,126000,6947113,372000,19684098
CN,CHINA,5583350,313102951,34003445,1726304526
CG,CONGO,0,0,167500,8478308
DJ,DJIBOUTI,230500,10270095,1500500,65980842
FJ,FIJI,58000,3024648,326000,17302248
FR,FRANCE,3000,143485,3000,143485
PF,FRENCH POLYNESIA,0,0,72000,3977849
DE,GERMANY,0,0,105703,5697118
IN,INDIA,2156250,125980860,10444425,550736220
ID,INDONESIA,9428850,478163312,35925090,1726537067
IL,ISRAEL,0,0,37000,1606966
JP,JAPAN,2282001,126532663,8552253,442572062
KZ,KAZAKHSTAN,53000,2914249,53000,2914249
KE,KENYA,0,0,200,9815
KR,"KOREA,REPUBLIC OF",164500,9806595,1314750,69258163
LA,LAO PDR,275810,14945897,1883810,94817136
MG,MADAGASCAR,0,0,70000,1968650
MY,MALAYSIA,775537,41283070,5007727,242586430
MU,MAURITIUS,64000,3633792,74000,4191474
MZ,MOZAMBIQUE,0,0,198000,10636761
MM,MYANMAR,1030750,56529045,5740663,287552588
NP,NEPAL,0,0,2000,175203
NC,NEW CALEDONIA,18000,987599,105000,5092843
NZ,NEW ZEALAND,262240,15604626,753980,41043422
PG,PAPUA NEW GUINEA,16500,904468,63000,3248774
PH,PHILIPPINES,781575,41289149,3140075,155611382
PL,POLAND,51000,2187681,51000,2187681
PT,PORTUGAL,444000,22079328,2090500,92909278
QA,QATAR,0,0,4000,174863
RE,REUNION,31500,1838111,82500,4625992
RU,RUSSIAN FEDERATION,0,0,10000,433282
SN,SENEGAL,0,0,25000,940215
SG,SINGAPORE,36755,2329511,156105,8919300
ZA,SOUTH AFRICA,0,0,631000,33041557
ES,SPAIN,122000,5868401,437000,19446522
LK,SRI LANKA,0,0,140500,6417600
CH,SWITZERLAND,0,0,73,2453
TW,"TAIWAN, PROVINCE OF CHINA",1606175,93322116,5975175,325834273
TZ,TANZANIA UNITED REPUBLIC OF,0,0,261500,12678034
TR,TÜRKIYE,0,0,106700,5881773
UA,UKRAINE,0,0,68250,3113601
AE,UNITED ARAB EMIRATES,90000,4475011,199002,9813872
US,UNITED STATES,12000,734215,47200,2518550
VN,VIETNAM,7178207,374144168,30684811,1466050705
SUM,SUM,34199560,1828977894,157319927,7792680280
