"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'FOB (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,787,98130
KH,CAMBODIA,0,0,100,10285
CN,CHINA,1603449,14267589,16880627,142357560
DJ,DJIBOUTI,0,0,357377,2802418
DO,DOMINICAN REPUBLIC,0,0,71850,2385048
ET,ETHIOPIA,0,0,99200,785285
DE,GERMANY,0,0,30,1408
HK,HONG KONG,0,0,55314,515517
IN,INDIA,99000,4214475,1061873,31636918
JP,JAPAN,0,0,252,49788
KR,"KOREA,REPUBLIC OF",0,0,336464,2658991
LA,LAO PDR,60,20042,1004,531680
MY,MALAYSIA,0,0,1000,120941
MX,MEXICO,0,0,100,7385
MM,MYANMAR,12,14200,12,14200
NC,NEW CALEDONIA,0,0,460,38400
PH,PHILIPPINES,0,0,0,61
SN,SENEGAL,0,0,145,825
SG,SINGAPORE,0,0,2400,145282
LK,SRI LANKA,0,0,8000,591182
CH,SWITZERLAND,0,0,0,54
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24009,274015
TZ,TANZANIA UNITED REPUBLIC OF,0,0,12000,659014
VN,VIETNAM,0,0,97315,3490429
SUM,SUM,1702521,18516306,19010319,189174816
