"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'FOB (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'FOB (Baht)')"
AU,AUSTRALIA,76100,4200561,76100,4200561
BD,BANGLADESH,187000,9742109,561000,28993684
CN,CHINA,5771000,308684310,17926000,953905125
IN,INDIA,1462000,75350330,2375000,122615102
ID,INDONESIA,149000,7915550,234000,12480420
LA,LAO PDR,42,72124,108,198857
MY,MALAYSIA,17100,927680,17264,951620
PK,PAKISTAN,17000,889817,84000,4409283
PH,PHILIPPINES,34000,1805356,85000,4530242
SG,SINGAPORE,0,0,2000,239907
LK,SRI LANKA,17000,896769,68000,3601337
TW,"TAIWAN, PROVINCE OF CHINA",34000,1826558,34000,1826558
US,UNITED STATES,38000,2047274,38000,2047274
VN,VIETNAM,0,0,60000,3261980
SUM,SUM,7802242,414358438,21560472,1143261950
