"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2017', 'Quantity')","('Apr 2017', 'FOB (Baht)')","('Jan - Apr 2017', 'Quantity')","('Jan - Apr 2017', 'FOB (Baht)')"
HK,HONG KONG,0,0,342,11760
ID,INDONESIA,24000,1255905,75400,3985563
LA,LAO PDR,2500,121591,11501,573295
MM,MYANMAR,0,0,13000,539500
NO,NORWAY,50,2500,50,2500
PK,PAKISTAN,7000,368855,17700,944775
PH,PHILIPPINES,0,0,19325,1113969
SG,SINGAPORE,0,0,21,593
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3000,183241
US,UNITED STATES,26,862,26,862
SUM,SUM,33576,1749713,140365,7356058
